"appid","steamDB_rating","steamDB_total_ratings"
497700, 82.5, 77
498240, 72.37, 4913
498310, 0.0, 0
498370, 0.0, 0
498460, 0.0, 0
498840, 49.88, 5
498970, 67.74, 43
499140, 0.0, 0
499470, 0.0, 0
499580, 0.0, 0
500180, 54.72, 10
500670, 0.0, 0
500800, 0.0, 0
500810, 85.21, 263
500980, 26.43, 13
501280, 0.0, 0
501320, 0.0, 0
501410, 61.43, 8
501650, 0.0, 0
501660, 0.0, 0
501680, 0.0, 0
501910, 0.0, 0
501950, 0.0, 0
501970, 59.89, 46
501990, 72.57, 80
502050, 0.0, 0
502240, 73.28, 137
502280, 80.45, 659
502300, 59.95, 30
502480, 0.0, 0
502810, 33.61, 19
502820, 73.06, 149
502880, 27.72, 36
502920, 70.49, 12
503220, 5.04, 3
503400, 90.15, 46
503490, 0.0, 0
503620, 0.0, 0
503750, 0.0, 0
503770, 80.07, 113
503940, 0.0, 0
504050, 0.0, 0
504410, 47.91, 8
504430, 0.0, 0
504460, 0.0, 0
504610, 0.0, 0
504660, 0.0, 0
504690, 0.0, 0
504770, 89.16, 461
504920, 0.0, 0
505070, 55.98, 14
505230, 0.0, 0
505460, 0.0, 0
505630, 0.0, 0
505640, 0.0, 0
505670, 0.0, 0
505680, 50.99, 12
506480, 0.0, 0
506540, 62.4, 4641
506760, 22.03, 7
506840, 47.03, 16
507390, 67.03, 271
507400, 57.5, 11
507520, 0.0, 0
508190, 85.41, 691
508250, 0.0, 0
508260, 57.87, 25
508330, 0.0, 0
508440, 0.0, 0
508460, 0.0, 0
508550, 64.9, 187
508580, 59.96, 12
508620, 0.0, 0
508660, 0.0, 0
508950, 28.42, 17
509140, 0.0, 0
509230, 24.31, 14
509250, 0.0, 0
509380, 0.0, 0
509620, 0.0, 0
509800, 44.85, 100
510190, 0.0, 0
510340, 0.0, 0
510370, 0.0, 0
510390, 0.0, 0
510420, 0.0, 0
510490, 0.0, 0
510510, 58.62, 681
510540, 0.0, 0
510590, 58.11, 15
510660, 48.1, 426
511110, 0.0, 0
511330, 28.98, 12
511350, 87.57, 88
511460, 50.99, 12
511490, 20.88, 13
511730, 0.0, 0
511740, 83.76, 404
512120, 0.0, 0
512180, 92.2, 83
512830, 13.71, 7
513000, 36.14, 1285
513160, 0.0, 0
513250, 85.66, 30
513270, 56.39, 27
513330, 0.0, 0
513540, 0.0, 0
513570, 47.0, 113
513600, 0.0, 0
513640, 0.0, 0
513710, 0.0, 0
513740, 21.8, 70
513860, 61.83, 17
514240, 38.12, 84
514310, 90.68, 250
514500, 0.0, 0
514510, 0.0, 1
514540, 0.0, 0
514550, 12.69, 4
514710, 0.0, 0
514740, 0.0, 0
514760, 0.0, 0
514990, 59.81, 49
515010, 0.0, 0
515060, 0.0, 0
515310, 54.51, 276
516030, 0.0, 0
516360, 0.0, 0
516450, 31.93, 7
516470, 28.98, 12
516640, 0.0, 0
516750, 88.43, 6064
516790, 0.0, 0
516830, 0.0, 0
517000, 70.28, 69
517010, 27.9, 25
517020, 43.52, 43
517100, 0.0, 0
517210, 49.88, 5
517400, 35.79, 18
517470, 48.05, 11
517480, 3.74, 4
517770, 0.0, 0
518580, 94.98, 1378
518620, 24.8, 85
518640, 0.0, 0
518670, 85.47, 140
518680, 0.0, 0
518720, 74.32, 129
518920, 57.97, 61
519030, 49.59, 25
519140, 65.88, 791
519860, 0.0, 0
519930, 20.97, 43
520300, 0.0, 0
520520, 15.58, 17
520530, 76.38, 818
520590, 0.0, 0
520670, 0.0, 0
520680, 0.0, 0
521110, 0.0, 0
521250, 0.0, 0
521380, 0.0, 0
521500, 70.81, 79
521620, 0.0, 0
521790, 0.0, 0
521860, 57.58, 46
521890, 0.0, 0
521920, 85.63, 65
521980, 36.28, 46
522010, 65.59, 28
522700, 12.69, 4
522940, 0.0, 0
523730, 57.19, 18
523750, 0.0, 0
523780, 0.0, 0
523860, 0.0, 0
524350, 0.0, 0
524540, 60.5, 20
524560, 79.09, 19
525360, 0.0, 0
525460, 0.0, 0
525530, 15.79, 13
525540, 28.13, 10
525640, 88.78, 160
525690, 0.0, 0
525700, 0.0, 0
526150, 0.0, 0
526290, 65.55, 32
526310, 55.98, 14
526430, 50.15, 50
526440, 0.0, 0
526750, 34.98, 27
527040, 0.0, 2
527320, 0.0, 0
527330, 19.95, 5
527450, 75.07, 354
527460, 0.0, 0
527470, 77.92, 26
527560, 0.0, 0
527570, 0.0, 0
